P,DB,Issue,Type,Q,Answer,Time,SGLT,mental,physical,temporal,performance,effort,frustration,avg_others,avg_all
bc360e201c556e73fadccd1b0fbe1083,4,Order&Grouping,Intervention,2,1,3.22,2,2,0,4,10,2,0,1.6,3.00
bc360e201c556e73fadccd1b0fbe1083,2,InforOverload,Intervention,2,0,6.28,2,8,0,2,14,16,0,5.2,6.67
bc360e201c556e73fadccd1b0fbe1083,5,DataPresentation,Baseline,1,0,2.88,2,4,0,2,8,2,0,1.6,2.67
bc360e201c556e73fadccd1b0fbe1083,1,InforOverload,Baseline,1,1,2.93,2,2,0,1,18,2,0,1,3.83
bc360e201c556e73fadccd1b0fbe1083,6,DataPresentation,Intervention,1,1,1.88,2,2,0,2,11,4,0,1.6,3.17
bc360e201c556e73fadccd1b0fbe1083,8,DataUnderstanding,Intervention,1,0,2.82,2,2,0,4,4,2,0,1.6,2.00
bc360e201c556e73fadccd1b0fbe1083,2,InforOverload,Intervention,1,1,0.98,2,4,0,0,18,1,0,1,3.83
bc360e201c556e73fadccd1b0fbe1083,4,Order&Grouping,Intervention,1,0,3.22,2,4,0,6,17,4,0,2.8,5.17
bc360e201c556e73fadccd1b0fbe1083,6,DataPresentation,Intervention,2,0,2.92,2,2,0,1,10,2,0,1,2.50
bc360e201c556e73fadccd1b0fbe1083,8,DataUnderstanding,Intervention,2,0,3.33,2,4,0,3,16,8,0,3,5.17
bc360e201c556e73fadccd1b0fbe1083,1,InforOverload,Baseline,2,1,1.5,2,4,0,1,18,3,0,1.6,4.33
bc360e201c556e73fadccd1b0fbe1083,3,Order&Grouping,Baseline,2,0,4.9,2,4,0,4,7,7,0,3,3.67
bc360e201c556e73fadccd1b0fbe1083,3,Order&Grouping,Baseline,1,0,1.65,2,2,0,1,18,3,0,1.2,4.00
bc360e201c556e73fadccd1b0fbe1083,5,DataPresentation,Baseline,2,0,1.15,2,2,0,1,14,1,0,0.8,3.00
2d2dc6b096e749771ade71edb3c44e78,2,InforOverload,Intervention,1,1,3.62,2,2,1,2,20,0,0,1,4.17
2d2dc6b096e749771ade71edb3c44e78,7,DataUnderstanding,Baseline,1,1,5.85,2,9,7,10,16,8,2,7.2,8.67
2d2dc6b096e749771ade71edb3c44e78,4,Order&Grouping,Intervention,2,1,5.62,2,10,8,10,16,12,2,8.4,9.67
2d2dc6b096e749771ade71edb3c44e78,1,InforOverload,Baseline,2,1,2.25,2,2,2,2,18,2,0,1.6,4.33
2d2dc6b096e749771ade71edb3c44e78,5,DataPresentation,Baseline,1,1,2.37,2,4,2,2,20,2,0,2,5.00
2d2dc6b096e749771ade71edb3c44e78,4,Order&Grouping,Intervention,1,0,3.05,2,2,2,2,18,1,0,1.4,4.17
2d2dc6b096e749771ade71edb3c44e78,8,DataUnderstanding,Intervention,1,0,3.30,2,4,2,4,10,4,0,2.8,4.00
2d2dc6b096e749771ade71edb3c44e78,6,DataPresentation,Intervention,2,1,3.20,2,2,2,4,16,2,0,2,4.33
2d2dc6b096e749771ade71edb3c44e78,1,InforOverload,Baseline,1,0,4.03,2,2,2,2,18,1,0,1.4,4.17
2d2dc6b096e749771ade71edb3c44e78,8,DataUnderstanding,Intervention,2,1,3.85,2,8,2,4,10,10,4,5.6,6.33
2d2dc6b096e749771ade71edb3c44e78,3,Order&Grouping,Baseline,1,0,6.83,2,10,12,6,20,6,0,6.8,9.00
2d2dc6b096e749771ade71edb3c44e78,5,DataPresentation,Baseline,2,1,5.57,2,7,10,10,20,6,8,8.2,10.17
2d2dc6b096e749771ade71edb3c44e78,3,Order&Grouping,Baseline,2,1,6.98,2,16,12,0,10,14,14,11.2,11.00
2d2dc6b096e749771ade71edb3c44e78,6,DataPresentation,Intervention,1,1,1.90,2,2,2,2,20,2,0,1.6,4.67
2d2dc6b096e749771ade71edb3c44e78,7,DataUnderstanding,Baseline,2,1,3.53,2,4,3,6,18,6,0,3.8,6.17
2d2dc6b096e749771ade71edb3c44e78,2,InforOverload,Intervention,2,1,3.25,2,4,2,2,20,4,0,2.4,5.33
f5854ce8a73f4c65a7656be0302ef54f,7,DataUnderstanding,Baseline,1,1,9.40,3,6,2,0,20,10,6,4.8,7.33
f5854ce8a73f4c65a7656be0302ef54f,2,InforOverload,Intervention,1,1,5.53,3,12,0,8,20,10,18,9.6,11.33
f5854ce8a73f4c65a7656be0302ef54f,8,DataUnderstanding,Intervention,1,1,7.82,3,12,8,8,18,14,16,11.6,12.67
f5854ce8a73f4c65a7656be0302ef54f,1,InforOverload,Baseline,2,1,2.18,3,4,2,2,20,2,2,2.4,5.33
f5854ce8a73f4c65a7656be0302ef54f,8,DataUnderstanding,Intervention,2,1,3.78,3,2,1,1,20,1,1,1.2,4.33
f5854ce8a73f4c65a7656be0302ef54f,4,Order&Grouping,Intervention,2,0,6.38,3,6,6,6,16,8,10,7.2,8.67
f5854ce8a73f4c65a7656be0302ef54f,7,DataUnderstanding,Baseline,2,0,5.10,3,2,4,4,18,4,18,6.4,8.33
f5854ce8a73f4c65a7656be0302ef54f,6,DataPresentation,Intervention,1,1,3.98,3,2,2,4,20,4,8,4,6.67
f5854ce8a73f4c65a7656be0302ef54f,1,InforOverload,Baseline,1,0,5.42,3,12,6,14,14,14,20,13.2,13.33
f5854ce8a73f4c65a7656be0302ef54f,2,InforOverload,Intervention,2,1,3.80,3,6,8,6,18,8,14,8.4,10.00
f5854ce8a73f4c65a7656be0302ef54f,3,Order&Grouping,Baseline,2,0,7.60,3,12,12,12,20,16,20,14.4,15.33
f5854ce8a73f4c65a7656be0302ef54f,5,DataPresentation,Baseline,2,1,3.78,3,2,7,2,18,6,6,4.6,6.83
f5854ce8a73f4c65a7656be0302ef54f,4,Order&Grouping,Intervention,1,0,4.93,3,2,5,5,20,4,2,3.6,6.33
f5854ce8a73f4c65a7656be0302ef54f,5,DataPresentation,Baseline,1,0,2.12,3,1,1,1,18,1,0,0.8,3.67
f5854ce8a73f4c65a7656be0302ef54f,6,DataPresentation,Intervention,2,1,2.57,3,1,1,2,1,1,6,2.2,2.00
f5854ce8a73f4c65a7656be0302ef54f,3,Order&Grouping,Baseline,1,1,1.93,3,2,2,2,20,2,8,3.2,6.00
2577645aacac5f574e5e0f273a9dbe01,4,Order&Grouping,Intervention,2,1,5.05,3,12,10,12,20,6,0,8,10.00
2577645aacac5f574e5e0f273a9dbe01,2,InforOverload,Intervention,1,1,4.97,3,1,1,1,20,0,0,0.6,3.83
2577645aacac5f574e5e0f273a9dbe01,4,Order&Grouping,Intervention,1,0,5.77,3,1,1,1,20,0,0,0.6,3.83
2577645aacac5f574e5e0f273a9dbe01,8,DataUnderstanding,Intervention,2,0,5.37,3,1,1,0,20,0,0,0.4,3.67
2577645aacac5f574e5e0f273a9dbe01,7,DataUnderstanding,Baseline,1,1,6.83,3,1,1,1,20,0,0,0.6,3.83
2577645aacac5f574e5e0f273a9dbe01,3,Order&Grouping,Baseline,2,1,9.93,3,6,6,4,14,2,0,3.6,5.33
2577645aacac5f574e5e0f273a9dbe01,5,DataPresentation,Baseline,1,1,3.87,3,1,1,1,20,0,0,0.6,3.83
2577645aacac5f574e5e0f273a9dbe01,7,DataUnderstanding,Baseline,2,1,3.37,3,1,1,1,20,0,0,0.6,3.83
2577645aacac5f574e5e0f273a9dbe01,6,DataPresentation,Intervention,2,1,7.52,3,4,2,4,18,0,0,2,4.67
2577645aacac5f574e5e0f273a9dbe01,1,InforOverload,Baseline,1,0,3.13,3,1,2,1,18,0,0,0.8,3.67
2577645aacac5f574e5e0f273a9dbe01,2,InforOverload,Intervention,2,0,7.32,3,6,6,8,0,0,4,4.8,4.00
2577645aacac5f574e5e0f273a9dbe01,1,InforOverload,Baseline,2,1,3.27,3,1,1,2,20,0,0,0.8,4.00
2577645aacac5f574e5e0f273a9dbe01,6,DataPresentation,Intervention,1,1,1.80,3,1,1,1,20,0,0,0.6,3.83
2577645aacac5f574e5e0f273a9dbe01,3,Order&Grouping,Baseline,1,0,2.95,3,4,1,2,14,2,0,1.8,3.83
2577645aacac5f574e5e0f273a9dbe01,8,DataUnderstanding,Intervention,1,0,5.35,3,4,4,4,0,6,4,4.4,3.67
2577645aacac5f574e5e0f273a9dbe01,5,DataPresentation,Baseline,2,1,4.28,3,2,1,2,18,1,0,1.2,4.00
9a5a49e90d82dd9194996abba021c8d6,3,Order&Grouping,Baseline,1,1,7.90,0,2,10,6,14,4,10,6.4,7.67
9a5a49e90d82dd9194996abba021c8d6,6,DataPresentation,Intervention,1,0,2.45,0,1,1,1,18,1,0,0.8,3.67
9a5a49e90d82dd9194996abba021c8d6,8,DataUnderstanding,Intervention,1,0,6.33,0,10,5,10,10,6,8.00,7.8,8.17
9a5a49e90d82dd9194996abba021c8d6,5,DataPresentation,Baseline,2,0,4.12,0,6,4,4,18,4,2.00,4,6.33
9a5a49e90d82dd9194996abba021c8d6,2,InforOverload,Intervention,1,1,1.90,0,0,1,0,18,0,0.00,0.2,3.17
9a5a49e90d82dd9194996abba021c8d6,5,DataPresentation,Baseline,1,1,2.40,0,1,2,1,18,1,1.00,1.2,4.00
9a5a49e90d82dd9194996abba021c8d6,7,DataUnderstanding,Baseline,1,0,3.33,0,8,2,1,10,6,2.00,3.8,4.83
9a5a49e90d82dd9194996abba021c8d6,6,DataPresentation,Intervention,2,0,2.07,0,1,2,0,19,0,0.00,0.6,3.67
9a5a49e90d82dd9194996abba021c8d6,1,InforOverload,Baseline,2,1,2.23,0,0,1,0,18,0,1.00,0.4,3.33
9a5a49e90d82dd9194996abba021c8d6,4,Order&Grouping,Intervention,2,0,3.65,0,1,1,0,19,1,2.00,1,4.00
9a5a49e90d82dd9194996abba021c8d6,2,InforOverload,Intervention,2,1,3.78,0,10,6,2,12,8,2.00,5.6,6.67
9a5a49e90d82dd9194996abba021c8d6,8,DataUnderstanding,Intervention,2,1,2.17,0,0,2,0,19,1,0.00,0.6,3.67
9a5a49e90d82dd9194996abba021c8d6,4,Order&Grouping,Intervention,1,1,4.17,0,2,1,1,18,1,0.00,1,3.83
9a5a49e90d82dd9194996abba021c8d6,7,DataUnderstanding,Baseline,2,0,1.67,0,1,1,0,18,1,0.00,0.6,3.50
9a5a49e90d82dd9194996abba021c8d6,3,Order&Grouping,Baseline,2,0,4.40,0,8,2,1,10,2,4.00,3.4,4.50
9a5a49e90d82dd9194996abba021c8d6,1,InforOverload,Baseline,1,0,1.43,0,0,1,0,19,1,0.00,0.4,3.50
5f90a364720db913241731a7a0354cfc,1,InforOverload,Baseline,1,0,4.85,3,4,2,2,20,4,1,2.6,5.50
5f90a364720db913241731a7a0354cfc,3,Order&Grouping,Baseline,1,0,5.13,3,15,5,10,0,10,10,10,8.33
5f90a364720db913241731a7a0354cfc,4,Order&Grouping,Intervention,1,0,3.27,3,8,4,2,0,5,6,5,4.17
5f90a364720db913241731a7a0354cfc,6,DataPresentation,Intervention,1,1,2.52,3,3,1,1,20,1,0,1.2,4.33
5f90a364720db913241731a7a0354cfc,1,InforOverload,Baseline,2,1,1.97,3,3,1,2,18,1,0,1.4,4.17
5f90a364720db913241731a7a0354cfc,6,DataPresentation,Intervention,2,1,3.02,3,7,1,1,20,4,0,2.6,5.50
5f90a364720db913241731a7a0354cfc,3,Order&Grouping,Baseline,2,0,2.02,3,4,1,0,0,2,8,3,2.50
5f90a364720db913241731a7a0354cfc,8,DataUnderstanding,Intervention,2,0,2.63,3,8,1,2,20,2,0,2.6,5.50
5f90a364720db913241731a7a0354cfc,7,DataUnderstanding,Baseline,1,1,1.98,3,4,1,2,20,2,0,1.8,4.83
5f90a364720db913241731a7a0354cfc,2,InforOverload,Intervention,2,1,4.08,3,14,4,5,18,6,0,5.8,7.83
5f90a364720db913241731a7a0354cfc,7,DataUnderstanding,Baseline,2,1,2.13,3,7,2,2,19,2,0,2.6,5.33
5f90a364720db913241731a7a0354cfc,2,InforOverload,Intervention,1,1,1.65,3,5,1,1,19,1,0,1.6,4.50
5f90a364720db913241731a7a0354cfc,8,DataUnderstanding,Intervention,1,0,2.97,3,8,4,3,10,4,10,5.8,6.50
5f90a364720db913241731a7a0354cfc,5,DataPresentation,Baseline,1,0,2.30,3,6,1,3,16,3,0,2.6,4.83
5f90a364720db913241731a7a0354cfc,5,DataPresentation,Baseline,2,1,2.42,3,9,2,2,17,2,0,3,5.33
5f90a364720db913241731a7a0354cfc,4,Order&Grouping,Intervention,2,1,3.05,3,11,2,3,8,5,0,4.2,4.83
b1f6fc242a250c65e062ae2af40adb56,4,Order&Grouping,Intervention,2,0,8.27,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,8,DataUnderstanding,Intervention,2,0,2.33,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,3,Order&Grouping,Baseline,2,0,2.00,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,6,DataPresentation,Intervention,2,0,2.05,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,5,DataPresentation,Baseline,2,1,1.50,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,7,DataUnderstanding,Baseline,1,0,2.10,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,3,Order&Grouping,Baseline,1,0,1.15,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,6,DataPresentation,Intervention,1,1,1.23,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,2,InforOverload,Intervention,2,0,3.10,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,4,Order&Grouping,Intervention,1,0,0.73,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,1,InforOverload,Baseline,1,0,1.12,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,1,InforOverload,Baseline,2,1,2.87,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,2,InforOverload,Intervention,1,1,1.05,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,5,DataPresentation,Baseline,1,1,1.37,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,8,DataUnderstanding,Intervention,1,0,0.88,2,0,0,0,0,0,0,0,0.00
b1f6fc242a250c65e062ae2af40adb56,7,DataUnderstanding,Baseline,2,0,0.55,2,0,0,0,0,0,0,0,0.00
bb6022fb633f7756d0c661fce67dab83,7,DataUnderstanding,Baseline,2,1,3.80,3,15,0,5,5,5,5,6,5.83
bb6022fb633f7756d0c661fce67dab83,5,DataPresentation,Baseline,2,0,2.20,3,10,0,2,0,0,0,2.4,2.00
bb6022fb633f7756d0c661fce67dab83,7,DataUnderstanding,Baseline,1,0,2.27,3,5,0,0,0,0,0,1,0.83
bb6022fb633f7756d0c661fce67dab83,3,Order&Grouping,Baseline,2,0,4.68,3,6,0,6,0,6,0,3.6,3.00
bb6022fb633f7756d0c661fce67dab83,1,InforOverload,Baseline,1,1,1.93,3,4,0,2,0,1,0,1.4,1.17
bb6022fb633f7756d0c661fce67dab83,1,InforOverload,Baseline,2,1,1.60,3,1,0,0,0,0,0,0.2,0.17
bb6022fb633f7756d0c661fce67dab83,6,DataPresentation,Intervention,2,1,3.93,3,6,0,0,0,6,2,2.8,2.33
bb6022fb633f7756d0c661fce67dab83,6,DataPresentation,Intervention,1,1,1.75,3,2,0,0,0,2,0,0.8,0.67
bb6022fb633f7756d0c661fce67dab83,8,DataUnderstanding,Intervention,2,0,5.35,3,0,0,0,0,0,20,4,3.33
bb6022fb633f7756d0c661fce67dab83,8,DataUnderstanding,Intervention,1,0,4.20,3,0,0,0,0,0,20,4,3.33
bb6022fb633f7756d0c661fce67dab83,3,Order&Grouping,Baseline,1,1,3.12,3,8,0,0,0,0,10,3.6,3.00
bb6022fb633f7756d0c661fce67dab83,4,Order&Grouping,Intervention,1,0,3.17,3,2,0,0,0,0,2,0.8,0.67
bb6022fb633f7756d0c661fce67dab83,2,InforOverload,Intervention,2,0,2.27,3,6,0,0,0,0,1,1.4,1.17
bb6022fb633f7756d0c661fce67dab83,5,DataPresentation,Baseline,1,0,3.10,3,3,0,2,1,1,3,1.8,1.67
bb6022fb633f7756d0c661fce67dab83,2,InforOverload,Intervention,1,1,1.75,3,2,0,0,0,0,0,0.4,0.33
bb6022fb633f7756d0c661fce67dab83,4,Order&Grouping,Intervention,2,0,4.25,3,1,0,0,0,1,1,0.6,0.50
6d302f8daa645e62128da0cecafc2ecf,3,Order&Grouping,Baseline,2,0,3.98,2,10,2,2,14,10,10,6.8,8.00
6d302f8daa645e62128da0cecafc2ecf,2,InforOverload,Intervention,1,1,2.78,2,6,2,2,16,6,6,4.4,6.33
6d302f8daa645e62128da0cecafc2ecf,3,Order&Grouping,Baseline,1,1,3.88,2,7,8,4,10,9,12,8,8.33
6d302f8daa645e62128da0cecafc2ecf,5,DataPresentation,Baseline,2,1,2.07,2,8,10,4,8,8,8,7.6,7.67
6d302f8daa645e62128da0cecafc2ecf,1,InforOverload,Baseline,1,0,1.50,2,6,5,2,8,5,3,4.2,4.83
6d302f8daa645e62128da0cecafc2ecf,6,DataPresentation,Intervention,2,1,2.15,2,8,2,2,16,8,6,5.2,7.00
6d302f8daa645e62128da0cecafc2ecf,4,Order&Grouping,Intervention,1,0,2.37,2,4,8,2,16,6,2,4.4,6.33
6d302f8daa645e62128da0cecafc2ecf,8,DataUnderstanding,Intervention,1,0,1.68,2,11,6,2,6,12,12,8.6,8.17
6d302f8daa645e62128da0cecafc2ecf,2,InforOverload,Intervention,2,0,2.02,2,7,5,2,12,5,5,4.8,6.00
6d302f8daa645e62128da0cecafc2ecf,7,DataUnderstanding,Baseline,2,1,1.20,2,7,4,2,16,4,2,3.8,5.83
6d302f8daa645e62128da0cecafc2ecf,5,DataPresentation,Baseline,1,1,1.78,2,4,4,2,15,5,3,3.6,5.50
6d302f8daa645e62128da0cecafc2ecf,4,Order&Grouping,Intervention,2,0,1.85,2,8,4,2,8,6,8,5.6,6.00
6d302f8daa645e62128da0cecafc2ecf,6,DataPresentation,Intervention,1,1,1.07,2,5,4,2,12,4,4,3.8,5.17
6d302f8daa645e62128da0cecafc2ecf,8,DataUnderstanding,Intervention,2,1,2.87,2,6,6,2,10,7,5,5.2,6.00
6d302f8daa645e62128da0cecafc2ecf,1,InforOverload,Baseline,2,0,1.22,2,6,8,2,16,6,6,5.6,7.33
6d302f8daa645e62128da0cecafc2ecf,7,DataUnderstanding,Baseline,1,1,1.52,2,6,4,1,19,6,3,4,6.50
7f3fc5e6f32c3bd93198a74b00d98db1,8,DataUnderstanding,Intervention,2,1,1.72,4,1,0,0,19,1,1,0.6,3.67
7f3fc5e6f32c3bd93198a74b00d98db1,7,DataUnderstanding,Baseline,2,0,2.05,4,1,0,0,15,1,3,1,3.33
7f3fc5e6f32c3bd93198a74b00d98db1,3,Order&Grouping,Baseline,2,0,3.13,4,1,0,0,2,1,5,1.4,1.50
